"Reference","Qty","Value","LCSC Part","Footprint"
"C1,C2,C3,C4,C5,C6,C7,C9,C10,C12,C17,C18","12","100nF","C77020","Capacitor_SMD:C_0402_1005Metric"
"C8,C11,C15,C16","4","1uF","C1518208","Capacitor_SMD:C_0402_1005Metric"
"C13,C14","2","15pF","C441742","Capacitor_SMD:C_0402_1005Metric"
"D1,D3,D5","3","GREEN","C965793","LED_SMD:LED_0402_1005Metric"
"D2,D4","2","RED","C25503345","LED_SMD:LED_0402_1005Metric"
"J1,J2","2","Conn_01x03","C52016391","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"
"R1,R2","2","27.4R","C31439","Resistor_SMD:R_0402_1005Metric"
"R3","1","DNF","-","Resistor_SMD:R_0402_1005Metric"
"R4,R5","2","1K","C11702","Resistor_SMD:R_0402_1005Metric"
"R6,R7,R14,R15,R16,R17,R18","7","5.1K","C25905","Resistor_SMD:R_0402_1005Metric"
"R8,R9,R10,R11,R12,R13","6","100R","C25076","Resistor_SMD:R_0402_1005Metric"
"SW1","1","TS-1088-AR02016","C720477","easyeda2kicad:SW-SMD_L3.9-W3.0-P4.45"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7","7","TestPoint","-","TestPoint:TestPoint_Pad_1.0x1.0mm"
"U1","1","RP2040","C2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm"
"U2","1","W25Q16JVUXIQ","C2843335","easyeda2kicad:USON-8_L3.0-W2.0-P0.50-BL-EP"
"U3","1","LP5907MFX-3.0/NOPB","C475492","easyeda2kicad:SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL"
"U4,U5","2","74AUP1T17GWH","C545951","easyeda2kicad:TSSOP-5_L2.1-W1.3-P0.65-LS2.2-BR"
"USB1","1","TYPE-C 16PIN 2MD(073)","C2765186","easyeda2kicad:USB-C-SMD_TYPE-C-6PIN-2MD-073"
"Y1","1","Crystal_GND24","C20625731","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm"
